date,failure_rate
2015-01-01,0.01348354694
2015-02-01,0.008215828773
2015-03-01,0.01372617178
2015-04-01,0.002260401053
2015-05-01,0.007577781608
2015-06-01,0.01006580696
2015-07-01,0.005013746601
2015-08-01,0.01272680145
2015-09-01,0.01238280746
2015-10-01,0.007608818773
2015-11-01,0.005288801763
2015-12-01,0.00516567422
2016-01-01,0.006990851561
2016-02-01,0.01153302378
2016-03-01,0.006135353648
2016-04-01,0.003335804289
2016-05-01,0.005003381189
2016-06-01,0.007420595893
2016-07-01,0.0135518139
2016-08-01,0.01516670331
2016-09-01,0.01425185281
2016-10-01,0.01125385006
2016-11-01,0.01503684733
2016-12-01,0.01063545854
2017-01-01,0.0001962921525
2017-02-01,0.006856892921
2017-03-01,0.005304099699
2017-04-01,0.01491392985
2017-05-01,0.0155856207
2017-06-01,0.00855633002
2017-07-01,0.01180599112
2017-08-01,0.01528646071
2017-09-01,0.00275624036
2017-10-01,0.009699519
2017-11-01,0.01520447211
2017-12-01,0.01693832929
2018-01-01,0.007973314924
2018-02-01,0.01082425086
2018-03-01,0.02012148164
2018-04-01,0.01522445835
2018-05-01,0.005133460984
2018-06-01,0.0169237945
2018-07-01,0.00916883765
2018-08-01,0.007279666378
2018-09-01,0.006585774359
2018-10-01,0.01003602472
2018-11-01,0.007028547237
2018-12-01,0.01295302174
2019-01-01,0.01986814453
2019-02-01,0.01307470597
2019-03-01,0.004041845009
2019-04-01,0.01174214939
2019-05-01,0.01482256555
2019-06-01,0.0077681923
2019-07-01,0.005353551373
2019-08-01,0.01010687084
2019-09-01,0.004122892433
2019-10-01,0.01205669396
2019-11-01,0.008437406826
2019-12-01,0.006636963653
2020-01-01,0.01300118047
2020-02-01,0.01387811721
2020-03-01,0.002608078034
2020-04-01,0.008173489512
2020-05-01,0.009141727011
2020-06-01,0.009256272238
2020-07-01,0.01036283143
2020-08-01,0.0110285688
2020-09-01,-4.70E-05
2020-10-01,0.008808177584
2020-11-01,0.004376273436
2020-12-01,0.004445776773
2021-01-01,0.01214667856
2021-02-01,0.01030571909
2021-03-01,0.01352389862
2021-04-01,0.01995343451
2021-05-01,0.01301469163
2021-06-01,0.002559347065
2021-07-01,0.01077210167
2021-08-01,-0.002020285125
2021-09-01,0.00786943147
2021-10-01,0.007592791949
2021-11-01,0.004795743561
2021-12-01,0.006327974669
2015-01-01,0.01293792973
2015-02-01,0.01285261602
2015-03-01,0.01395803108
2015-04-01,0.004277178183
2015-05-01,0.009692947788
2015-06-01,0.00357646083
2015-07-01,0.009602044443
2015-08-01,0.01566594943
2015-09-01,0.01456566065
2015-10-01,0.01192329411
2015-11-01,0.0087702105
2015-12-01,0.01177034534
2016-01-01,0.01752589182
2016-02-01,0.01254026421
2016-03-01,0.01103984531
2016-04-01,0.007925180644
2016-05-01,0.009338741872
2016-06-01,0.01429240117
2016-07-01,-0.001128006802
2016-08-01,0.01260160064
2016-09-01,0.01211635555
2016-10-01,0.009094565192
2016-11-01,0.01230479721
2016-12-01,0.009709121142
2017-01-01,0.01238290362
2017-02-01,-0.0007572271863
